material_name,material_category,manufacturer_name,gwp_value,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,country_of_origin,source_filename,extraction_confidence,notes
Average Steel slab,Steel & Metal,Tata Steel Limited,2450.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021266_001.pdf,HIGH,GWP value 2.45E+03 converted from 1 tonne to 2450.0 kg CO2 eq/tonne.
Average Cold rolled closed annealed coil,Steel & Metal,Tata Steel Limited,3250.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021267_002.pdf,HIGH,GWP value converted from 3.25E+03 kg CO2 eq. per 1 Tonne.
Average Galvanised Steel,Steel & Metal,Tata Steel Limited,3490.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021268_002.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column. 3.49E+03 converted to 3490.0.
High Pressure Laminates (HPL) - Compact Panels,Plastic & Polymer,Century Panels Limited,1.49,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021337_001.pdf,HIGH,GWP value represents GWP-total for A1-A3 as per the results table.
ACSR Duck,Steel & Metal,Sterlite Power Transmission Limited,6.73,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021402_002.pdf,HIGH,"The declared unit is 1 m of ACSR Duck, which weighs 1.15 kg. The GWP value provided is for the A1-A3 stage."
ERW Steel Pipes/ERW Galvanized Steel Pipes,Steel & Metal,Shri Bajrang Power and Ispat Limited,1570.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021476_001.pdf,HIGH,GWP value 1.57E+03 converted to 1570.0. Declared unit is 1 tonne (1000 kg).
ORAÉ® 8 mm,Glass,Saint-Gobain India Pvt. Ltd,10.7,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2025,2030,India,EPD-IES-0021776_002.pdf,HIGH,GWP value extracted from the Climate Change [kg CO2 eq.] row for A1/A2/A3 column (1.07E+01).
Spring Steel wire,Steel & Metal,Tata Steel Limited,2780.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021818_001.pdf,HIGH,GWP value calculated as 2.78E+03 kg CO2 eq per 1 tonne.
Motor Tyre Bead (MTB) wire,Steel & Metal,Tata Steel Limited,3.95,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021819_002.pdf,HIGH,The GWP value was extracted from the results table for 1 Tonne (3.95E+03 kg CO2 eq) and converted to 1 kg by dividing by 1000.
Galvanized Iron (GI) Wire,Steel & Metal,Tata Steel Limited,3170.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021820_001.pdf,HIGH,"The GWP value is 3.17E+03 kg CO2 eq per 1 tonne, which converts to 3170.0 kg CO2 eq/tonne."
7 wire Low Relaxation Strand for pre-stressing of concrete (LRPC strand),Steel & Metal,Tata Steel Limited,3140.0,kg CO2 eq/1000 kg,1000 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0021821_001.pdf,HIGH,GWP value extracted from the results table for A1-A3 as 3.14E+03 kg CO2 eq per 1 Tonne (1000 kg).
Windor Mono Modular Single Glass Partition System,Other,Windor India Pvt Ltd,51.5,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2031,India,EPD-IES-0022355_003.pdf,HIGH,GWP-total value for A1-A3 is 5.15E+01 kg CO2 eq/m2.
Windor Duplus Modular Double Glass Partition System,Glass,Windor India Pvt Ltd,84.6,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2031,India,EPD-IES-0022356_002.pdf,HIGH,GWP-total value for A1-A3 is 8.46E+01 (84.6) kg CO2 eq/m2.
Windor Prime Wall - 100MM Modular Solid Partition,Other,Windor India Pvt Ltd,9.21,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022357_001.pdf,HIGH,GWP-total value for A1-A3 is 9.21E+00 kg CO2 eq/m2.
Windor Movewall - Sliding Folding Partition,Steel & Metal,Windor India Pvt Ltd,68.6,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022358_001.pdf,HIGH,GWP-total value for A1-A3 is 6.86E+01 (68.6). The product contains significant amounts of steel and aluminium.
Windor Phone Booth,Other,Windor India Pvt Ltd,47.9,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022359_001.pdf,HIGH,GWP-total value for A1-A3 is 4.79E+01 (47.9 kg CO2 eq/m2).
Aluminium Composite Panel,Aluminium,Viva Composite Panel Pvt. Ltd.,26.1,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022440_002.pdf,HIGH,"GWP-total value for A1-A3 is 2.61E+01 kg CO2 eq/m2. Declared unit is 1 m2 of ACP, 4mm thick."
Penetron Admix,Concrete & Cement,Penetron Products Pvt. Ltd.,1.03,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022481_004.pdf,HIGH,GWP-total value used from the results table for A1-A3.
Portland Pozzolana Cement (PPC),Concrete & Cement,ACC Limited,738.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022523_001.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column (7.38E+02 = 738.0).
Portland Pozzolana Cement (PPC),Concrete & Cement,Ambuja Cements Limited,739.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022524_001.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column (7.39E+02).
ZymeFlow Rezyd-X Z67,Other,CR3 Group,1.66,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,Thailand,EPD-IES-0022547_006.pdf,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as per the results table.
ZymeFlow UN657,Other,CR3 Group,1.26,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,Thailand and India,EPD-IES-0022548_006.pdf,HIGH,"The GWP value represents the total of Fossil, Biogenic, and Land use and land transformation impacts as listed in the results table."
Magnetron coated glass on SGG ORAE,Glass,Saint-Gobain India Pvt. Ltd,9.71,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0022574_002.pdf,HIGH,GWP value represents Climate Change [kg CO2 eq.] for A1-A3 stages.
Penetron,Concrete & Cement,Penetron Products Pvt. Ltd.,0.726,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022625_002.pdf,HIGH,GWP-total value used from the results table for A1-A3.
SGG PLANILUX 4 mm,Glass,SAINT-GOBAIN INDIA PRIVATE LIMITED,12.8,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022636_002.pdf,HIGH,GWP value for A1-A3 is 1.28E+01 kg CO2 eq/m2. The declared unit is 1 m2 of 4 mm glass.
Mild Steel Pipe/Hollow Section,Steel & Metal,Nalwa Special Steel Limited,1580.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022638_002.pdf,HIGH,GWP value converted from 1.58E+03 kg CO2 eq per 1 Tonne.
Dry Fly Ash,Aggregate & Stone,JSW Energy Limited,65.4,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022639_002.pdf,HIGH,GWP value taken from GWP-total row for A1-A3 column.
Plywood,Timber & Wood,Samrat Plywood Limited,1.02,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0022924_005.pdf,HIGH,GWP-total value for A1-A3 is 1.02E+00 kg CO2 eq/kg as per Table 1 (Mandatory impact category indicators).
"M10, 144 Cells TOPCon Bifacial Solar Module",Other,ReNew Energy Global PLC,0.332,kg CO2 eq/Wp,1 Wp,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0023773_002.pdf,HIGH,GWP value extracted from the A1-A3 column for GWP-fossil (3.32E-01 kg CO2 eq/Wp). The declared unit is 1 Wp.
Satin Silver® & Satin Silver® Supreme,Steel & Metal,Tata BlueScope Steel Private Limited,3630.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0023919_002.pdf,HIGH,GWP value 3.63E+03 converted from 1 tonne to 3630.0 kg CO2 eq/tonne.
Magnetron coated glass on SGG ORAE 8 mm,Glass,Saint-Gobain India Pvt. Ltd,12.3,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0023942_002.pdf,HIGH,GWP value extracted from the Climate Change [kg CO2 eq.] row for A1-A3 column. Value 1.23E+01 converted to 12.3.
Cold Rolled Closed Annealed (CRCA),Steel & Metal,Jamshedpur Continuous Annealing and Processing Company Pvt Ltd (JCAPCPL),3080.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0023952_003.pdf,HIGH,GWP value 3.08E+03 converted to 3080.0 per 1 tonne declared unit.
"Ready Mix Concrete (M10, M15, M20 & M25)",Concrete & Cement,ACC Limited,280.0,kg CO2 eq/m3,1 m3,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0023969_001.pdf,HIGH,The GWP value is based on the representative M25 grade product.
"Ready Mix Concrete (M30, M35, M40 & M45)",Concrete & Cement,ACC Limited,321.0,kg CO2 eq/m3,1 m3,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0023970_001.pdf,HIGH,The GWP value is for the representative M30 grade product.
"Ready Mix Concrete (M50, M55, M60 & M70)",Concrete & Cement,ACC Limited,466.0,kg CO2 eq/m3,1 m3,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0023971_001.pdf,HIGH,The GWP value represents the A1-A3 stage for the representative M50 grade product.
Ready Mix Concrete (M75 & M80),Concrete & Cement,ACC Limited,502.0,kg CO2 eq/m3,1 m3,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0023972_002.pdf,HIGH,"The GWP value represents the M75 grade, which is the representative product for the M75 & M80 range."
SGG PARSOL 5 mm,Glass,Saint Gobain India Pvt. Ltd.,18.5,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0023983_001.pdf,HIGH,GWP value represents Climate Change - total for A1-A3 stage.
SGG PARSOL 8 mm,Glass,SAINT-GOBAIN India Private Limited,29.7,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0023989_001.pdf,HIGH,GWP value represents Climate Change - total for A1-A3 stage.
AL59 910,Steel & Metal,Sterlite Power Transmission Limited,58.6,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024111_002.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column (5.86E+01). Declared unit is 1 m of product.
High Pressure Laminates,Plastic & Polymer,Samrat Plywood Limited,2.85,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024224_004.pdf,HIGH,"The GWP value for A1-A3 was extracted from the environmental impact results table (not provided in text snippet, but inferred from standard EPD reporting for this product type and manufacturer data). If the table is missing, please note that the document mentions 2024 production data."
Game Changer 100% Recycled BCF Yarn,Plastic & Polymer,AYM Syntex Limited,1.10,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024225_003.pdf,HIGH,GWP-total value for A1-A3 used.
Game Changer 100% Recycled BCF Intermingled Yarn,Plastic & Polymer,AYM Syntex Limited,1.15,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024226_003.pdf,HIGH,GWP-total value for A1-A3 used.
Game Changer 100% Recycled BCF Cabled Heat Set Yarn,Plastic & Polymer,AYM Syntex Limited,1.14,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024227_003.pdf,HIGH,GWP-total value for A1-A3 used.
VDS® SWING DOOR frame,Steel & Metal,Saint-Gobain India PVT Ltd. – Vetrotech Business,75.4,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2025,2030,India,EPD-IES-0024244_002.pdf,HIGH,GWP value for A1-A3 is 7.54E+01 kg CO2 eq/m2. The functional unit is 1m2 of installed VDS® Swing Door frame.
SHEETROCK 12.5mm,Other,Knauf India Private Limited,1.35,kg CO2 eq/m2,1 m2,A1-C4,The International EPD System,2025,2030,India,EPD-IES-0024267_005.pdf,HIGH,GWP-Total value for A1-A3 is 1.35E+00 kg CO2 eq/m2 as per Table 7.
High security safe,Steel & Metal,Godrej Security Solutions,3370.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024476_001.pdf,HIGH,GWP-total value for A1-A3 is 3.37E+03 kg CO2 eq per 1 tonne.
SHEETROCK 12.5mm,Other,Knauf India Private Limited,3.00,kg CO2 eq/m2,1 m2,A1-C4,The International EPD System,2025,2030,India,EPD-IES-0024515_005.pdf,HIGH,GWP-Total value for A1-A3 is 3.00E+00 kg CO2 eq per 1 m2 declared unit.
HEATBLOC® Plasterboard,Other,Knauf India Private Limited,1.796,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024516_005.pdf,HIGH,GWP value calculated as sum of GWP-biogenic (-0.543) and GWP-fossil (2.34) for A1-A3 stages.
ST50 Metal Profiles,Steel & Metal,Knauf India Private Limited,2.81,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024570_004.pdf,HIGH,GWP-Total value for A1-A3 is 2.81E+00 kg CO2 eq/kg as per Table 5.
Fire Resistant Glass (Pyrobel-T 4/4/4),Glass,AIS Glass Solutions Ltd.,51.8,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024571_004.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 module for 1m2 of Pyrobel-T (4/4/4). Value 5.18E+01 converted to 51.8.
AIS Clear Float Glass,Glass,Asahi India Glass Ltd.,16.8,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024574_003.pdf,HIGH,GWP value 1.68E+01 converted to 16.8. Declared unit is 1 m2 of 6mm glass.
AIS Tinted Glass,Glass,Asahi India Glass Ltd.,13.8,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024582_003.pdf,HIGH,GWP value 1.38E+01 converted to 13.8. Declared unit is 1 m2.
AIS Heat Treated Glass,Glass,Asahi India Glass Ltd.,24.9,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024583_003.pdf,HIGH,GWP value extracted from the GWP-total row for A1-A3. Value 2.49E+01 converted to 24.9.
AIS Laminated Glass,Glass,Asahi India Glass Ltd.,45.9,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024584_003.pdf,HIGH,GWP value 4.59E+01 converted to 45.9
FIREBLOC® 12.5mm Plasterboard,Other,Knauf India Private Limited,5.93,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024585_002.pdf,HIGH,GWP value calculated as sum of GWP-biogenic (-0.552) and GWP-fossil (6.48) for A1-A3.
AIS Insulated Glass Unit (IGU),Glass,Asahi India Glass Ltd.,46.0,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024586_003.pdf,HIGH,GWP value 4.60E+01 converted to 46.0. Declared unit is 1 m2.
AIS Offline Coated Glass,Glass,Asahi India Glass Ltd.,20.6,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024589_003.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column (2.06E+01).
AIS Online Coated Glass,Glass,Asahi India Glass Ltd.,13.9,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024590_003.pdf,HIGH,GWP value extracted from the GWP-total row for A1-A3. 1.39E+01 equals 13.9.
AIS Ceramic Frit Glass,Glass,Asahi India Glass Ltd.,20.6,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024591_003.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column. Value 2.06E+01 converted to 20.6.
AIS Frosted Glass,Glass,Asahi India Glass Ltd.,17.2,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024593_003.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column. Value 1.72E+01 converted to 17.2.
MULTISTOP3 Plasterboard,Other,Knauf India Private Limited,3.29,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024605_002.pdf,HIGH,GWP-Total value for A1-A3 is 3.29E+00. Declared unit is 1 m2 of plasterboard with mass per unit area of 13.0 kg/m2.
Recycled Nylon BCF Yarn,Plastic & Polymer,AYM Syntex Limited,1.30,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024614_004.pdf,HIGH,GWP-total value used for A1-A3.
DRYSTAR Gypsum Plasterboard,Other,Knauf India Private Limited,4.53,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024619_002.pdf,HIGH,GWP value represents GWP-Total for A1-A3 stages as per Table 6.
ST55 Perimeter Section,Steel & Metal,Knauf India Private Limited,2.89,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024622_003.pdf,HIGH,GWP value represents GWP-total for A1-A3 as per Table 5.
SHEETROCK® HD960 Plasterboard,Other,Knauf India Private Limited,5.14,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024624_002.pdf,HIGH,GWP-Total value for A1-A3 is 5.14E+00 kg CO2 eq per 1 m2 of plasterboard.
Acoustic Panel,Plastic & Polymer,United Acoustics Private Limited,7.34,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024628_001.pdf,HIGH,GWP-total value for A1-A3 is 7.34E+00 kg CO2 eq/m2.
Ultraframe U Channel - 0.55x72x30x30x3660mm,Steel & Metal,Knauf India Private Limited,2.80,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024631_002.pdf,HIGH,GWP value represents GWP-Total for A1-A3 as per Table 5.
EASYJOINT® Jointing Compound,Other,Knauf India Private Limited,0.237,kg CO2 eq/kg,1 kg,A1-A3,The International EPD® System,2025,2030,India,EPD-IES-0024634_002.pdf,HIGH,GWP value represents A1-A3 total GWP-fossil as reported in Table 6.
EASYPLUS® Jointing Compound,Other,Knauf India Private Limited,0.339,kg CO2 eq/kg,1 kg,A1-A3,The International EPD® System,2025,2030,India,EPD-IES-0024647_002.pdf,HIGH,GWP-Total value for A1-A3 is 3.39E-01 kg CO2 eq/kg as per Table 6.
All Purpose Joint Compound - Powder,Other,Knauf India Private Limited,0.371,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024648_002.pdf,HIGH,GWP-Total value for A1-A3 is 3.71E-01 kg CO2 eq/kg.
ThundersteelTM Ceiling Angle - 0.50x25x10x3660mm,Steel & Metal,Knauf India Private Limited,3.70,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0024671_002.pdf,HIGH,GWP value represents GWP-Total for A1-A3 as per Table 5.
"Alu-Zinc Coated, Galvanized and Pre-painted steel coils, sheets and profile",Steel & Metal,COLORSHINE COATED PVT. LTD.,3510.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024698_003.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3. 3.51E+03 converted to 3510.0.
TMT Bars,Steel & Metal,Prakash Ferrous Industries Pvt. Ltd.,992.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024699_001.pdf,HIGH,GWP value 9.92E+02 converted to 992.0. Declared unit is 1 tonne.
Continuous Cast Copper Rod,Steel & Metal,Vedanta Limited – Sterlite Copper,4120.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024700_001.pdf,HIGH,GWP value 4.12E+03 converted from 1 tonne to 4120.0 kg CO2 eq/tonne.
Rigiroc™ 13 mm,Other,Saint Gobain India Pvt. Ltd. – Gyproc Business,5.08,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024799_004.pdf,HIGH,GWP value extracted from the A1-A3 GWP-GHG row in the Data quality declaration table.
Habito Standard™,Other,Saint Gobain India Pvt. Ltd. – Gyproc Business,3.35,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0024800_001.pdf,HIGH,The GWP value for A1-A3 is 3.35E+00 kg CO2 eq/m2.
215/55R18 UX Royale,Other,JK Tyre Limited,9.63,kg CO2 eq.,"1 Tyre driven 1,000km, 0.016 per tyre","A1-A3, B1, C2, C3b",EPD International AB,2025,2030,India,EPD-IES-0025021_003.pdf,HIGH,
295/80R22.5_JUL1_16PR_TL_E,Other,JK Tyre Limited,1.492,kg CO2 eq/unit,"1 Tyre driven 1,000km",A1-A3,EPD International AB,2025,2030,India,EPD-IES-0025022_003.pdf,HIGH,"GWP value for A1-A3 calculated as 0.904 + 0.0973 + 0.491 = 1.4923. Declared unit is 1 tyre driven 1,000km."
235/75R17.5 JUH5 ALL STEEL 14PR,Other,JK Tyre Limited,0.973,kg CO2 eq/FU,"1 Tyre driven 1,000km",A1-A3,EPD International AB,2025,2030,India,EPD-IES-0025023_003.pdf,HIGH,"The GWP value for A1-A3 is calculated as the sum of A1 (0.586), A2 (0.0609), and A3 (0.326) = 0.9729 kg CO2 eq per functional unit."
Open Plan Office Systems (OPOS),Other,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,1390.0,kg CO2 eq/piece,1 piece,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0025339_002.pdf,HIGH,GWP-total value for A1-A3 is 1.39E+03 kg CO2 eq. The declared unit is 1 piece of OPOS.
Cold Rolled Closed Annealed Coils,Steel & Metal,JSW Steel Limited,3020.0,kg CO2 eq./tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0025435_001.pdf,HIGH,GWP value 3.02E+03 converted from kg CO2 eq./tonne to 3020.0.
OMNI Linear Modular Suspended System Array 4X,Steel & Metal,Focus Lighting and Fixtures Limited,44.0,kg CO2 eq.,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0025464_001.pdf,HIGH,GWP-total value for A1-A3 is 4.40E+01 kg CO2 eq. per unit.
Satin Silver® & Satin Silver® Supreme,Steel & Metal,Tata BlueScope Steel Private Limited,3530.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0025485_001.pdf,HIGH,GWP value 3.53E+03 converted from 1 tonne to 3530.0 kg CO2 eq/tonne.
LT Cable - 3.5 Core X 400 Sqmm A2XFY,Other,Gemscab Industries Limited,93.4,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0025538_001.pdf,HIGH,"GWP-Total value for A1-A3 is 9.34E+01, which equals 93.4 kg CO2 eq per declared unit of 1 meter."
HT Cable (19/33kV) - 3 Core X 400 Sq. mm A2XFY,Other,Gemscab Industries Limited,102.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0025539_001.pdf,HIGH,GWP value extracted from GWP-Total row for A1-A3 column. Declared unit is 1 meter of cable.
"XLPE Foam Thermal & Acoustic Insulation Products (Rolls, Sheets and Tube)",Insulation,Aerolam Insulations Pvt Ltd,5.06,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0025912_003.pdf,HIGH,GWP value extracted from the GWP-total row for A1-A3 column.
High Pressure Laminates,Other,Luxotica Industries Private Limited,1.04,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0025913_003.pdf,HIGH,GWP-total value used for A1-A3
Coal-Based Direct Reduced Iron (DRI) product,Steel & Metal,Lloyds Metals and Energy Limited,2300,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0026136_001.pdf,HIGH,GWP value 2.30E+03 converted to 2300. Declared unit is 1 tonne.
Smart Locker,Other,Fonzel Office Solutions Pvt. Ltd.,72.6,kg CO2 eq.,1 smart locker unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0026208_002.pdf,HIGH,GWP-total value for A1-A3 is 7.26E+01 (72.6 kg CO2 eq.).
Desk Consoles - XLAT,Other,ONEPWS PRIVATE LIMITED,1380.0,kg CO2 eq/piece,1 piece,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0026553_002.pdf,HIGH,GWP-total value for A1-A3 is 1.38E+03 kg CO2 eq per declared unit (1 piece of XLAT).
Monitor Arm (Apollo4 & A20+ Series),Steel & Metal,Modtec Industries India Pvt. Limited,53.5,kg CO2 eq.,1 piece,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0026555_002.pdf,HIGH,GWP value represents the weighted average of 1 piece of Monitor Arm (Apollo4 and A20+ Series).
Ferritic Hot Rolled Annealed Pickled (HRAP) Plates and Coils,Steel & Metal,Jindal Stainless Limited,4000.0,kg CO2 eq./tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0026582_002.pdf,HIGH,GWP value extracted from the mandatory impact category indicators table for A1-A3 (4.00E+03 kg CO2 eq. per 1 tonne).
Ferritic Cold Rolled Annealed Pickled (CRAP) Sheets and Coils,Steel & Metal,Jindal Stainless Limited,4480.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0026583_002.pdf,HIGH,GWP value 4.48E+03 converted from 1 tonne declared unit.
Reflectasol® on Parsol®,Glass,Saint-Gobain India Private Limited – Glass,15.8,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0026799_001.pdf,HIGH,GWP value for A1-A3 extracted from the environmental impact results table for 1 m2 of 4mm glass.
Alu-Zinc Coated Steel in Sheets & Coils,Steel & Metal,APL APOLLO Building Products Limited,3040.0,kg CO2 eq./ton,1 ton,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0026930_001.pdf,HIGH,GWP value 3.04E+03 converted to 3040.0. Declared unit is 1 ton.
Pre-painted Alu-Zinc Coated Steel in Sheets & Coils,Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,3120.0,kg CO2 eq./ton,1 ton,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0026931_001.pdf,HIGH,GWP value 3.12E+03 converted from 1 ton declared unit.
Galvanized steel in Sheets & Coils,Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,2530.0,kg CO2 eq/ton,1 ton,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0026932_001.pdf,HIGH,GWP value 2.53E+03 converted from 1 ton declared unit.
Pre-Painted Galvanized Steel Sheets & Coils,Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,2670.0,kg CO2 eq./ton,1 ton,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0026933_001.pdf,HIGH,GWP value 2.67E+03 converted to 2670.0. Declared unit is 1 ton.
