registration_number,material_name,material_category,manufacturer_name,product_category,geographical_scope,country_of_origin,gwp_a1a3,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,epd_url,gwp_value,extraction_confidence,notes
EPD-IES-0023970:001,"Ready Mix Concrete (M30, M35, M40 & M45)",Concrete & Cement,ACC Limited,Construction products,India,India,321.0,kg CO2 eq/m3,1 m3,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23970,321.0,HIGH,The GWP value is for the representative M30 grade product.
EPD-IES-0023971:001,"Ready Mix Concrete (M50, M55, M60 & M70)",Concrete & Cement,ACC Limited,Construction products,India,India,466.0,kg CO2 eq/m3,1 m3,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23971,466.0,HIGH,The GWP value represents the A1-A3 stage for the representative M50 grade product.
EPD-IES-0023773:002,TOPCon Bifacial Solar Module,Other,ReNew Energy Global PLC,Construction products,Global,India,0.332,kg CO2 eq/Wp,1 Wp,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23773,0.332,HIGH,GWP value extracted from the A1-A3 column for GWP-fossil (3.32E-01 kg CO2 eq/Wp). The declared unit is 1 Wp.
EPD-IES-0023952:003,Cold Rolled Closed Annealed,Steel & Metal,Jamshedpur Continuous Annealing and Processing Company Pvt Ltd (JCAPCPL),Construction products,India,India,3080.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23952,3080.0,HIGH,GWP value 3.08E+03 converted to 3080.0 per 1 tonne declared unit.
EPD-IES-0022357:001,Windor Primewall - 100MM Modular Solid Partition,Other,Windor India Pvt Ltd,Construction products,Global,India,9.21,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22357,9.21,HIGH,GWP-total value for A1-A3 is 9.21E+00 kg CO2 eq/m2.
EPD-IES-0024634:002,Knauf India EASYJOINT,Other,Knauf India Private Limited,Construction products,India,India,0.237,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24634,0.237,HIGH,GWP value represents A1-A3 total GWP-fossil as reported in Table 6.
EPD-IES-0024622:003,Knauf India ST55 Metal Profiles,Steel & Metal,Knauf India Private Limited,Construction products,India,India,2.89,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24622,2.89,HIGH,GWP value represents GWP-total for A1-A3 as per Table 5.
EPD-IES-0024628:001,Acoustic Panel,Plastic & Polymer,United Acoustics Private Limited,Construction products,Global,India,7.34,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24628,7.34,HIGH,GWP-total value for A1-A3 is 7.34E+00 kg CO2 eq/m2.
EPD-IES-0024647:002,Knauf India EASYPLUS,Other,Knauf India Private Limited,Construction products,India,India,0.339,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24647,0.339,HIGH,GWP-Total value for A1-A3 is 3.39E-01 kg CO2 eq/kg as per Table 6.
EPD-IES-0024619:002,Knauf India DRYSTAR Plasterboard,Other,Knauf India Private Limited,Construction products,India,India,4.53,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24619,4.53,HIGH,GWP value represents GWP-Total for A1-A3 stages as per Table 6.
EPD-IES-0024624:002,Knauf India Plasterboards (Multiple Products) SSM,Other,Knauf India Private Limited,Construction products,India,India,5.14,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24624,5.14,HIGH,GWP-Total value for A1-A3 is 5.14E+00 kg CO2 eq per 1 m2 of plasterboard.
EPD-IES-0024699:001,TMT Bars,Steel & Metal,Prakash Ferrous Industries Pvt. Ltd.,Construction products,Global,India,992.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24699,992.0,HIGH,GWP value 9.92E+02 converted to 992.0. Declared unit is 1 tonne.
EPD-IES-0024267:005,Knauf India Sheetrock Plasterboard,Other,Knauf India Private Limited,Construction products,India,India,1.35,kg CO2 eq/m2,1 m2,A1-C4,International EPD System,,,https://www.environdec.com/library/epd24267,1.35,HIGH,GWP-Total value for A1-A3 is 1.35E+00 kg CO2 eq/m2 as per Table 7.
EPD-IES-0024515:005,Knauf India Sheetrock Plasterboard,Other,Knauf India Private Limited,Construction products,India,India,3.00,kg CO2 eq/m2,1 m2,A1-C4,International EPD System,,,https://www.environdec.com/library/epd24515,3.00,HIGH,GWP-Total value for A1-A3 is 3.00E+00 kg CO2 eq per 1 m2 declared unit.
EPD-IES-0024516:005,Knauf India Plasterboards (Multiple Products),Other,Knauf India Private Limited,Construction products,India,India,1.796,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24516,1.796,HIGH,GWP value calculated as sum of GWP-biogenic (-0.543) and GWP-fossil (2.34) for A1-A3 stages.
EPD-IES-0024570:004,Knauf India ST50 Metal Profiles,Steel & Metal,Knauf India Private Limited,Construction products,India,India,2.81,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24570,2.81,HIGH,GWP-Total value for A1-A3 is 2.81E+00 kg CO2 eq/kg as per Table 5.
EPD-IES-0024585:002,Knauf India Plasterboards (Multiple Products) - KKR,Other,Knauf India Private Limited,Construction products,India,India,5.93,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24585,5.93,HIGH,GWP value calculated as sum of GWP-biogenic (-0.552) and GWP-fossil (6.48) for A1-A3.
EPD-IES-0024605:002,Knauf India Plasterboard (Multiple Products),Other,Knauf India Private Limited,Construction products,India,India,3.29,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24605,3.29,HIGH,GWP-Total value for A1-A3 is 3.29E+00. Declared unit is 1 m2 of plasterboard with mass per unit area of 13.0 kg/m2.
EPD-IES-0024226:003,Game Changer 100% Recycled BCF Intermingled Yarn,Plastic & Polymer,AYM Syntex Limited,Construction products,Global,India,1.15,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24226,1.15,HIGH,GWP-total value for A1-A3 used.
EPD-IES-0022636:002,SGG PLANILUX ® 4mm,Glass,SAINT-GOBAIN INDIA PRIVATE LIMITED,Construction products,India,India,12.8,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22636,12.8,HIGH,GWP value for A1-A3 is 1.28E+01 kg CO2 eq/m2. The declared unit is 1 m2 of 4 mm glass.
EPD-IES-0021267:002,Average Cold rolled closed annealed coil,Steel & Metal,Tata Steel Limited,Construction products,Global,India,3250.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21267,3250.0,HIGH,GWP value converted from 3.25E+03 kg CO2 eq. per 1 Tonne.
EPD-IES-0021268:002,Average Galvanized Steel,Steel & Metal,Tata Steel Limited,Construction products,Global,India,3490.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21268,3490.0,HIGH,GWP value extracted from GWP-total row for A1-A3 column. 3.49E+03 converted to 3490.0.
EPD-IES-0023983:001,SGG PARSOL® 5 mm,Glass,Saint Gobain India Pvt. Ltd.,Construction products,India,India,18.5,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23983,18.5,HIGH,GWP value represents Climate Change - total for A1-A3 stage.
EPD-IES-0023989:001,SGG PARSOL® 8 mm,Glass,SAINT-GOBAIN India Private Limited,Construction products,India,India,29.7,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23989,29.7,HIGH,GWP value represents Climate Change - total for A1-A3 stage.
EPD-IES-0024227:003,Game Changer 100% Recycled BCF Cabled Heat Set Yarn,Plastic & Polymer,AYM Syntex Limited,Construction products,Global,India,1.14,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24227,1.14,HIGH,GWP-total value for A1-A3 used.
EPD-IES-0022638:002,Mild Steel Pipe / Hollow section,Steel & Metal,Nalwa Special Steel Limited,Construction products,Global,India,1580.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22638,1580.0,HIGH,GWP value converted from 1.58E+03 kg CO2 eq per 1 Tonne.
EPD-IES-0022440:002,"FR A2, FR B & Non-FR Aluminium Composite Panel",Aluminium,Viva Composite Panel Pvt. Ltd.,Construction products,Global,India,26.1,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22440,26.1,HIGH,"GWP-total value for A1-A3 is 2.61E+01 kg CO2 eq/m2. Declared unit is 1 m2 of ACP, 4mm thick."
EPD-IES-0022524:001,Portland Pozzolana Cement (PPC),Concrete & Cement,Ambuja Cements Limited,Construction products,India,India,739.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22524,739.0,HIGH,GWP value extracted from GWP-total row for A1-A3 column (7.39E+02).
EPD-IES-0022481:004,Penetron Admix,Concrete & Cement,Penetron Products Pvt. Ltd.,Construction products,India,India,1.03,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22481,1.03,HIGH,GWP-total value used from the results table for A1-A3.
EPD-IES-0022625:002,Penetron,Concrete & Cement,Penetron Products Pvt. Ltd.,Construction products,India,India,0.726,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22625,0.726,HIGH,GWP-total value used from the results table for A1-A3.
EPD-IES-0022523:001,Portland Pozzolana Cement (PPC),Concrete & Cement,ACC Limited,Construction products,India,India,738.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22523,738.0,HIGH,GWP value extracted from GWP-total row for A1-A3 column (7.38E+02 = 738.0).
EPD-IES-0020036:003,200 KVA 20.5/ 0.41 kV Transformer,Other,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,98100.0,kg CO2 eq/unit,1 piece,A1-C4,International EPD System,,,https://www.environdec.com/library/epd20036,98100.0,HIGH,The GWP value represents the total (A1-C4) for the declared unit of a single transformer.
EPD-IES-0020985:001,Flexi Raised Access Floors,Other,AET Building Products India Private Limited,Construction products,Global,India,48.2,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd20985,48.2,HIGH,GWP-total value for A1-A3 is 4.82E+01 kg CO2 eq/m2.
EPD-IES-0021819:002,MTB Wire,Steel & Metal,Tata Steel Limited,"Metal, mineral, plastic & glass products",Global,India,3.95,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21819,3.95,HIGH,The GWP value was extracted from the results table for 1 Tonne (3.95E+03 kg CO2 eq) and converted to 1 kg by dividing by 1000.
EPD-IES-0020031:002,30 KVA 20.5/ 0.41 kV Transformer,Other,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,30500,kg CO2 eq/transformer,1 transformer,A1-C4,International EPD System,,,https://www.environdec.com/library/epd20031,30500,HIGH,GWP value represents the total (Upstream + Core + Downstream) as per the results table.
EPD-IES-0020032:002,50 KVA 1/ 0.41 kV Transformer,Other,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,36800,kg CO2 eq,1 piece,A1-C4,International EPD System,,,https://www.environdec.com/library/epd20032,36800,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as reported in the environmental performance indicators table.
EPD-IES-0020033:002,50 KVA 20.5/ 0.41 kV Transformer,Steel & Metal,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,36900.0,kg CO2 eq,1 piece,A1-C4,International EPD System,,,https://www.environdec.com/library/epd20033,36900.0,HIGH,The GWP value represents the total (A1-C4) as provided in the results table. The declared unit is a single piece of transformer.
EPD-IES-0020034:002,100 KVA 20.5/ 0.41 kV Transformer,Other,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,60600.0,kg CO2 eq,1 piece,A1-C4,International EPD System,,,https://www.environdec.com/library/epd20034,60600.0,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as per the results table.
EPD-IES-0020035:002,200 KVA 1/ 0.41 kV Transformer,Equipment,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,110000,kg CO2 eq,1 piece,A1-C4,International EPD System,,,https://www.environdec.com/library/epd20035,110000,HIGH,"Equipment EPD — not a construction material. GWP is for entire unit, not per kg or m2."
EPD-IES-0021476:001,ERW Steel Pipes/ERW Galvanized Steel Pipes,Steel & Metal,Shri Bajrang Power and Ispat Limited,Construction products,India,India,1570.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21476,1570.0,HIGH,GWP value 1.57E+03 converted to 1570.0. Declared unit is 1 tonne (1000 kg).
EPD-IES-0007405:001,Ground Granulated Blast Furnace Slag (GGBS),Concrete & Cement,JSW Cement Limited,Construction products,India,India,68.96,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd7405,68.96,HIGH,The declared unit is 1 tonne (1000 kg) of GGBS.
EPD-IES-0007759:001,Ground Granulated Blast Furnace Slag (GGBS) /Microfine GGBS,Concrete & Cement,JSW Cement Limited,Construction products,India,India,107.7,kg CO2 eq.,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd7759,107.7,HIGH,"The GWP-GHG value of 107.7 kg CO2 eq. is for the A1-A3 life cycle stage. The declared unit is 1 tonne of GGBS and its variant Microfine GGBS. The GWP-GHG value includes a specific note about A1 module impact due to secondary material, GBFS, accounting for 52.53% of the total GWP-GHG(A1-A3) impact."
EPD-IES-0021266:001,Average Steel Slab,Steel & Metal,Tata Steel Limited,Construction products,Global,India,2450.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21266,2450.0,HIGH,GWP value 2.45E+03 converted from 1 tonne to 2450.0 kg CO2 eq/tonne.
EPD-IES-0017633:003,Rockinsul RB Slab 60 kg/m3,Insulation,"Saint Gobain India Pvt Ltd, Insulation Division",Construction products,Asia,India,4.30,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd17633,4.30,HIGH,The declared unit is 1 m2 of mineral wool with a thickness of 50 mm. GWP value refers to Climate Change (total) for A1-A3.
EPD-IES-0021337:001,Average High Pressure Laminate (HPL) -Compact panels,Plastic & Polymer,Century Panels Limited,Construction products,Global,India,1.49,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21337,1.49,HIGH,GWP value represents GWP-total for A1-A3 as per the results table.
EPD-IES-0018119:001,Deep Groove Ball Bearing: 6010,Steel & Metal,National Engineering Industries Ltd,Machinery & equipment,Global,India,2.67,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18119,2.67,HIGH,"The GWP value 2.67 represents the Upstream (1.82) + Core (0.856) stages, which constitute A1-A3."
EPD-IES-0018154:001,Double Row Angular Contact Bearing: AU0754-2LXL,Steel & Metal,National Engineering Industries Ltd,Machinery & equipment,Global,India,2.73,kg CO2 eq/unit,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18154,2.73,HIGH,GWP value calculated as sum of Upstream (2.16E+00) and Core (5.73E-01) stages for A1-A3.
EPD-IES-0018184:001,Cylindrical Roller Bearing: TS2NU2236,Steel & Metal,National Engineering Industries Ltd,Machinery & equipment,Global,India,487.0,kg CO2 eq/product,1 product,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18184,487.0,HIGH,"The GWP value is the sum of Upstream (1.63E+02), Core (3.22E+02), and Downstream (7.28E-01) fossil GWP, totaling 487.0 kg CO2 eq per product."
EPD-IES-0017974:001,TAPERED ROLLER BEARING: 33022,Steel & Metal,National Engineering Industries Ltd.,Machinery & equipment,Global,India,15.35,kg CO2 eq/product,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd17974,15.35,HIGH,GWP value calculated as sum of Upstream (1.08E+01) and Core (4.55E+00) stages for A1-A3.
EPD-IES-0018138:001,Unitized Taper Roller Bearing: N1764XAT2XLLX,Steel & Metal,National Engineering Industries Ltd,Machinery & equipment,Global,India,53.6,kg CO2 eq.,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18138,53.6,HIGH,The GWP value is the sum of Upstream (37.2) and Core (16.4) stages as per the A1-A3 requirement.
EPD-IES-0018239:001,Cartridge Tapered Roller Bearing: 6X11 Class E,Steel & Metal,National Engineering Industries Ltd,Machinery & equipment,Global,India,154.3,kg CO2 eq/unit,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18239,154.3,HIGH,"The GWP value for A1-A3 is calculated as the sum of Upstream (113) and Core (41.3) stages, totaling 154.3 kg CO2 eq per unit."
EPD-IES-0018019:001,Cylindrical Roller Bearing: NUP310N,Steel & Metal,National Engineering Industries Ltd,Machinery & equipment,Global,India,9.17,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18019,9.17,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as per the results table. The declared unit is 1 kg based on the product composition total.
EPD-IES-0005241:002,Grinding Media (Steel Balls),Steel & Metal,JSW Steel Limited,"Metal, mineral, plastic & glass products",Global,India,3650.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd5241,3650.0,HIGH,The GWP value 3.65E+03 kg CO2 eq per tonne was converted to 3650.0 kg CO2 eq per tonne for consistency.
EPD-IES-0004977:002,Hot Dip Galvanized Pole and High Mast,Steel & Metal,Skipper Limited,Construction products,Global,India,3190,kg CO2 eq.,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd4977,3190,HIGH,The GWP value is the 'GWP- total' for the A1-A3 stage.
EPD-IES-0004995:002,Hot Dip Galvanized Steel Tower,Steel & Metal,Skipper Limited,Construction products,Global,India,3370.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd4995,3370.0,HIGH,
EPD-IES-0016396:001,Keraflex Easy S1 Zero grey,Concrete & Cement,Mapei Construction Product India Ltd.,Construction products,India,India,0.493,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd16396,0.493,HIGH,GWP value converted from 4.93E-01 kg CO2 eq.
EPD-IES-0016397:002,Keraflex Easy S1 Zero White,Concrete & Cement,Mapei Construction Product India Ltd.,Construction products,India,India,0.559,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd16397,0.559,HIGH,GWP value converted from 5.59E-01
EPD-IES-0012055:005,Indowud NFC Board,Plastic & Polymer,Indowud NFC Private Limited,Construction products,Global,India,830.0,kg CO2 eq/1000kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd12055,830.0,HIGH,GWP value extracted from the 'GWP – total' row for A1-A3 column. The declared unit is 1000kg.
EPD-IES-0020175:001,"GDPA FASTENERS: Screws, Nuts & Accessories",Steel & Metal,GDPA Fasteners,Construction products,India,India,1.71,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd20175,1.71,HIGH,GWP value represents the total for A1-A3 as stated in the environmental performance results table.
EPD-IES-0017973:001,TAPERED ROLLER BEARING :32309XA,Steel & Metal,National Engineering Industries Ltd,Machinery & equipment,Global,India,8.76,kg CO2 eq.,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd17973,8.76,HIGH,The GWP value represents the total for A1-A3 (Upstream + Core). The declared unit is one bearing (weight 1.357 kg).
EPD-IES-0020327:001,Sleek Partition,Aluminium,Saint-Gobain India Pvt. Ltd,Construction products,India,India,26.4,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd20327,26.4,HIGH,GWP value represents Climate Change - total for A1-A3 (2.64E+01)
EPD-IES-0020329:001,Influence Partition,Aluminium,Saint-Gobain India Pvt. Ltd,Construction products,India,India,26.9,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd20329,26.9,HIGH,GWP value represents Climate Change - total for A1-A3 (2.69E+01)
EPD-IES-0020172:001,SomaniPly Plywood,Timber & Wood,Ecowood Exports Private Limited,Construction products,India,India,-415.0,kg CO2 eq/m3,1 m3,A1-A3,International EPD System,,,https://www.environdec.com/library/epd20172,-415.0,HIGH,GWP-total value for A1-A3 is -4.15E+02 kgCO2e per 1m3.
EPD-IES-0005242:002,Smart PIR Panel,Insulation,Asawa Insulation Pvt. Ltd.,Construction products,Global,India,8.95,kg CO2 eq.,1 m2 Smart PIR Panel with 20 mm Thickness,A1-A3,International EPD System,,,https://www.environdec.com/library/epd5242,8.95,HIGH,The GWP value is for GWP-total. The declared unit includes thickness.
EPD-IES-0019902:002,MIRA 5mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,19.6,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd19902,19.6,HIGH,GWP value extracted from the Climate Change [kg CO2 eq.] row for A1-A3 column (1.96E+01).
EPD-IES-0019900:002,PLANILAQUE ON PLANILUX 6mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,20.2,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd19900,20.2,HIGH,GWP value 2.02E+01 converted to 20.2. Declared unit is 1 m2.
EPD-IES-0019899:002,PLANILAQUE ON PLANILUX 5mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,17.0,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd19899,17.0,HIGH,"GWP value extracted from the Climate Change (total) row for A1-A3, 1.70E+01 = 17.0."
EPD-IES-0019897:002,PLANILAQUE ON PLANILUX 4mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,13.5,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd19897,13.5,HIGH,GWP value extracted from the Climate Change row for A1-A3 column (1.35E+01).
EPD-IES-0010024:002,Smart Ducting System,Insulation,Asawa Insulation Pvt. Ltd.,Construction products,Global,India,11.2,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd10024,11.2,HIGH,GWP value represents GWP-total for 20mm thickness. Declared unit is 1 m2.
EPD-IES-0018412:001,One ton of DN600 Ductile Iron Pipe,Steel & Metal,Jindal SAW Limited,Construction products,Global,India,1230.0,kg CO2 eq/ton,1 ton,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18412,1230.0,HIGH,GWP-total value for A1-A3 is 1.23E+03 kg CO2 eq per 1 ton.
EPD-IES-0016558:001,Hot Rolled Coils,Steel & Metal,Jindal Steel Odisha Ltd.,Construction products,Global,India,1530.0,kg CO2 eq/t,1 t,A1-A3,International EPD System,,,https://www.environdec.com/library/epd16558,1530.0,HIGH,GWP value 1.53E+03 converted to 1530.0 per 1 tonne.
EPD-IES-0018411:001,Ductile Iron Pipe (DN1200),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,1180.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18411,1180.0,HIGH,GWP value 1.18E+03 converted to 1180.0. Declared unit is 1m of pipe.
EPD-IES-0018410:001,Ductile Iron Pipe (DN1100),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,1010.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18410,1010.0,HIGH,GWP value 1.01E+03 converted to 1010.0. Declared unit is 1m of pipe.
EPD-IES-0018409:001,Ductile Iron Pipe (DN1000),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,839.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18409,839.0,HIGH,GWP value extracted from GWP-total row for A1-A3 column (8.39E+02).
EPD-IES-0018408:001,Ductile Iron Pipe (DN900),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,690.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18408,690.0,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 (6.90E+02).
EPD-IES-0018407:001,Ductile Iron Pipe (DN800),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,556.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18407,556.0,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3. The value 5.56E+02 is equivalent to 556.0.
EPD-IES-0018406:001,Ductile Iron Pipe (DN750),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,521.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18406,521.0,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 (5.21E+02).
EPD-IES-0018405:001,Ductile Iron Pipe (DN700),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,445.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18405,445.0,HIGH,GWP value extracted from the 'Potential environmental impact' table for A1-A3 (4.45E+02).
EPD-IES-0018404:001,Ductile Iron Pipe (DN600),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,373.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18404,373.0,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3. The value 3.73E+02 corresponds to 373.0.
EPD-IES-0018403:001,Ductile Iron Pipe (DN500),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,269.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18403,269.0,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 (2.69E+02).
EPD-IES-0018402:001,Ductile Iron Pipe (DN450),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,225.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18402,225.0,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 column (2.25E+02).
EPD-IES-0018401:001,Ductile Iron Pipe (DN400),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,190.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18401,190.0,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3. The declared unit is 1m of pipe.
EPD-IES-0018400:001,Ductile Iron Pipe (DN350),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,161.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18400,161.0,HIGH,GWP value extracted from the 'Potential environmental impact' table for A1-A3 (1.61E+02).
EPD-IES-0018399:001,Ductile Iron Pipe (DN300),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,136.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18399,136.0,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3. The value 1.36E+02 corresponds to 136.0.
EPD-IES-0018398:001,Ductile Iron Pipe (DN250),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,101.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18398,101.0,HIGH,GWP value 1.01E+02 converted to 101.0. Declared unit is 1m of pipe.
EPD-IES-0018397:001,Ductile Iron Pipe (DN200),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,35.6,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd18397,35.6,HIGH,GWP-total value for A1-A3 is 3.56E+01 kg CO2 eq per 1m.
